[2025-04-09 01:18:14,062] ERROR: Not connected to tracker.
[2025-04-09 01:18:14,063] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:14,166] ERROR: Not connected to tracker.
[2025-04-09 01:18:14,166] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:14,269] ERROR: Not connected to tracker.
[2025-04-09 01:18:14,269] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:14,372] ERROR: Not connected to tracker.
[2025-04-09 01:18:14,372] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:14,476] ERROR: Not connected to tracker.
[2025-04-09 01:18:14,476] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:14,579] ERROR: Not connected to tracker.
[2025-04-09 01:18:14,580] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:14,684] ERROR: Not connected to tracker.
[2025-04-09 01:18:14,685] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:14,788] ERROR: Not connected to tracker.
